direccion,localidad,latitud,longitud
"CESAR MALNATTI (ENTRE 4163 INT JUAN IRIGOIN Y 4161 PRINGLES), San Miguel, Buenos Aires",San Miguel,-34.53087237066525,-58.71379185923185
"GRL JUAN E PEDERNERA (ESQUINA COMOD RIVADAVIA), Avellaneda, Buenos Aires",Avellaneda,-34.6922008048074,-58.339341505182
"SAN NICOLAS 5868, Avellaneda, Buenos Aires",Avellaneda,-34.69257486631877,-58.31242234552392
"CNL JOSE RONDEAU 300, Avellaneda, Buenos Aires",Avellaneda,-34.7035861170521,-58.3230384781838
"3067 SOURDEAUX 2500, San Miguel, Buenos Aires",San Miguel,-34.5684058880009,-58.6983323591148
"PJE SARACHAGA 6000, Avellaneda, Buenos Aires",Avellaneda,-34.7021202636664,-58.3213110318367
"ALMTE CORDERO 3300, Avellaneda, Buenos Aires",Avellaneda,-34.6871661763647,-58.3495568633351
"CHASCOMUS 1500, Avellaneda, Buenos Aires",Avellaneda,-34.7062617108988,-58.3407193924544
"LAMADRID 449, Avellaneda, Buenos Aires",Avellaneda,-34.66135992239373,-58.35544244776385
"EMILIO ZOLA 6300, Avellaneda, Buenos Aires",Avellaneda,-34.7012723546387,-58.3121284095576
"GRL OTERO 200, Avellaneda, Buenos Aires",Avellaneda,-34.6902462534376,-58.3308585161821
"3170 20 DE JUNIO 1000, San Miguel, Buenos Aires",San Miguel,-34.5647658028353,-58.6837558997287
"3033 TUCUMAN 1800, San Miguel, Buenos Aires",San Miguel,-34.5670345494718,-58.6808351018188
"BERUTTI 200, Avellaneda, Buenos Aires",Avellaneda,-34.662618810226135,-58.36812855835223
"SALTA 1458, Avellaneda, Buenos Aires",Avellaneda,-34.69040942817677,-58.36204723526735
"3067 SOURDEAUX 2800, San Miguel, Buenos Aires",San Miguel,-34.588086428093696,-58.71910236080786
"4163 INT JUAN IRIGOIN (ESQUINA 4180 JOSE MARIA PAZ), San Miguel, Buenos Aires",San Miguel,-34.5401242222368,-58.7246811544935
"SALTA 1600, Avellaneda, Buenos Aires",Avellaneda,-34.6908019646562,-58.362513383783
"GRL DEHEZA 100, Avellaneda, Buenos Aires",Avellaneda,-34.6863836559577,-58.3403851588004
"MARTIN FIERRO 1180, Avellaneda, Buenos Aires",Avellaneda,-34.69314880869791,-58.3067343592645
"4156 SERRANO 2800, San Miguel, Buenos Aires",San Miguel,-34.52983338859513,-58.7218848142628
"4162 MTRO ANGEL D ELIA 500, San Miguel, Buenos Aires",San Miguel,-34.5495635751565,-58.6983971184656
"3025 MOISES LEBENSOHN 2000, San Miguel, Buenos Aires",San Miguel,-34.5721229048963,-58.6810192555112
"EMILIO ZOLA 5900, Avellaneda, Buenos Aires",Avellaneda,-34.6976925532207,-58.3165661738599
"DR ESTANISLAO S ZEBALLOS 6000, Avellaneda, Buenos Aires",Avellaneda,-34.699442761006,-58.3186478161169
"ARAUCANOS, Punta Indio, Buenos Aires",Punta Indio,-35.252043625325,-57.26993105755099
"MANUEL CORVALAN 56, Avellaneda, Buenos Aires",Avellaneda,-34.70032304719471,-58.32342710775996
"LOBOS 970, Avellaneda, Buenos Aires",Avellaneda,-34.690348839085445,-58.31382253611084
"AV BARTOLOME MITRE 1400, Avellaneda, Buenos Aires",Avellaneda,-34.665299193157,-58.3594197398131
